"1","tcp","atg","ATG，油罐液位仪，一种储油罐的监测设备；ATG（Automated-Tank-Gauge）协议是液位仪器的私有通讯协议。","10001"
"1","tcp","bachmann-tcp","Bachmann是一种私有协议，用于Bachmann PLC的通讯，常见于风力发电等行业。","3500"
"1","udp","bachmann-udp","Bachmann是一种私有协议，用于Bachmann PLC的通讯，常见于风力发电等行业。","3003"
"1","udp","bacnet","楼宇自动控制网络数据通讯协议(BACnet)是针对采暖、通风、空调、制冷控制设备所设计，同时也为其他楼宇控制系统（例如照明、安保、消防等系统）的集成提供一个基本原则。","47808"
"1","udp","beckoff-ads","Beckoff-ads是一种私有协议，用于Beckoff PLC的通讯，常见于风力发电等行业。","48899"
"1","tcp","codesys","CoDeSys编程接口在全球范围内使用广泛，全球上百个设备制造商的自动化设备中都是用了该编程接口。","2455"
"1","tcp","cspv4","CSPV4是可以识别PLC5/SLC 500控制器的服务；罗克韦尔的SLC 500功能强大，拥有先进的指令集、丰富的输入输出模块，专门针对工业现场恶劣的工作环境而设计。","2222"
"1","tcp","ddp-tcp","DDP协议（DTU DSC Protocol）是DTU与DSC之间的通讯协议，DDP是一种厂商定义的私有公开性质的通信协议，用于数据的传输和DTU管理。","5002"
"1","udp","ddp-udp","DDP协议（DTU DSC Protocol）是DTU与DSC之间的通讯协议，DDP是一种厂商定义的私有公开性质的通信协议，用于数据的传输和DTU管理。","5002"
"1","tcp","dnp3","DNP（Distributed Network Protocol，分布式网络规约）是一种应用于自动化组件之间的通讯协议，常见于电力、水处理等行业。SCADA可以使用DNP协议与主站、RTU、及IED进行通讯。","20000"
"1","udp","dnp3-udp","DNP（Distributed Network Protocol，分布式网络规约）是一种应用于自动化组件之间的通讯协议，常见于电力、水处理等行业。SCADA可以使用DNP协议与主站、RTU、及IED进行通讯","20000"
"1","tcp","ethernetip","Ethernet/IP是一个面向工业自动化应用的工业应用层协议。它建立在标准UDP/IP与TCP/IP协议之上，利用固定的以太网硬件和软件，为配置、访问和控制工业自动化设备定义了一个应用层协议。","44818"
"1","udp","ethernetip-udp","Ethernet/IP是一个面向工业自动化应用的工业应用层协议。它建立在标准UDP/IP与TCP/IP协议之上，利用固定的以太网硬件和软件，为配置、访问和控制工业自动化设备定义了一个应用层协议。","44818"
"1","tcp","fox","Fox协议是Tridium公司开发的Niagara框架的一部分，广泛应用于楼宇自动化控制系统。","1911"
"1","tcp","foxboro","Foxboro是一种私有协议，用于Foxboro PLC的通讯，常见于电力、石油、化工等行业。","20476"
"1","tcp","atg","ATG，油罐液位仪，一种储油罐的监测设备；ATG（Automated-Tank-Gauge）协议是液位仪器的私有通讯协议。","10001"
"1","tcp","bachmann-tcp","Bachmann是一种私有协议，用于Bachmann PLC的通讯，常见于风力发电等行业。","3500"
"1","udp","bachmann-udp","Bachmann是一种私有协议，用于Bachmann PLC的通讯，常见于风力发电等行业。","3003"
"1","udp","bacnet","楼宇自动控制网络数据通讯协议(BACnet)是针对采暖、通风、空调、制冷控制设备所设计，同时也为其他楼宇控制系统（例如照明、安保、消防等系统）的集成提供一个基本原则。","47808"
"1","udp","beckoff-ads","Beckoff-ads是一种私有协议，用于Beckoff PLC的通讯，常见于风力发电等行业。","48899"
"1","tcp","codesys","CoDeSys编程接口在全球范围内使用广泛，全球上百个设备制造商的自动化设备中都是用了该编程接口。","2455"
"1","tcp","cspv4","CSPV4是可以识别PLC5/SLC 500控制器的服务；罗克韦尔的SLC 500功能强大，拥有先进的指令集、丰富的输入输出模块，专门针对工业现场恶劣的工作环境而设计。","2222"
